name,product_id,price,brand,age,images,color,shoes sizes
Women's Superga Classics Canvas White Shoe,130609AAJB8, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57156947.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57156947_01.jpg']]",White,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Superga Classics Canvas Grey/White Shoe,130609AADG2, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/56630405.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/56630405_01.jpg']]",Grey/White,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Nike Air Max SC Black/White Shoe,130609ABAL4," R 1,399.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613871.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613871_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Vans Doheny Black Shoe,130609AAON6, R 749.95,Vans,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57285755.jpg'], []]",Black,"['4', '5', '6', '7', '8']"
Women's Superga Classics Canvas Navy/White Shoe,130609AAZR1, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57605409.jpg'], []]",Navy/White,"['3', '4', '5', '5.5', '6', '7', '8']"
Women's Puma Up Grey/Silver Shoe,130609ABBI9, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635585.jpg'], []]",Grey/Silver,"['4', '5', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Low Pink Mono Shoe,130609AAUX2," R 1,349.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57491160.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57491160_01.jpg']]",Pink,"['4', '5', '6', '7']"
Women's Superga Classics Canvas Black Shoe,130609AAFS0, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57089358.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57089358_01.jpg']]",Black,"['3', '4', '5', '5-', '6', '7', '8']"
Women's Le Coq Sportif Provencale II Lo Pink/White Shoe,130609ABBM0," R 1,349.95",Le Coq Sportif,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57636773.jpg'], []]",Pink/White,"['3', '4', '5', '6', '7']"
Women's Puma Smash v2 Black/White Shoe,130609ABGO0, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040704.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59040704_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
Women's Nike Court Vision Mid White Shoe,130609AAJU3," R 1,299.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168589.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57168589_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's Puma Smash v2 Buck Black/Pink Shoe,130609AAHJ6, R 899.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57130686.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57130686_01.jpg']]",Black/Pink,"['4', '5', '6', '7', '8']"
Women's Nike Wearallday Grey/Pink Shoe,130609ABAL7," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613873.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613873_01.jpg']]",Grey/Pink,"['4', '5', '6', '7', '8']"
Women's adidas Courtpoint X Black/White Shoe,130609AASK5, R 899.95,Adidas,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57449526.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57449526_01.jpg']]",Black/White,"['4', '5', '6', '7', '8']"
name,product_id,price,brand,age,images,color,shoes sizes
Men's Nike Court Royale 2 Low Black/White Shoe,130609ABIW8, R 899.95,Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168878.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168878_01.jpg']]",Black/White,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Nike Air Max Bolt White Shoe,130609ABII5," R 1,599.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59142295.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59142295_01.jpg']]",White,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5']"
Men's Reebok Royal Glide White/Red/Navy Shoe,130609ABHS8," R 1,099.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092125.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092125_01.jpg']]",White/Red,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Vans Doheny Decon Leather Black Shoe,130609ABHU4, R 999.95,Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092840.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092840_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Puma R78 Black/White/Red Shoe,130609ABFZ8," R 1,099.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016981.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016981_01.jpg']]",Black/White,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Nike Crater Remixa Grey/Lt Blue Shoe,130609ABDE8," R 1,399.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57716487.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57716487_01.jpg']]",Grey/Blue,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Le Coq Sportif Quartz Navy/White/Gum Shoe,130609ABFJ9," R 1,399.95",Le Coq Sportif,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58993471.jpg'], []]",Navy/White,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Puma Turino White/Black Shoe,130609ABGA7, R 899.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59017070.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59017070_01.jpg']]",White/Black,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's New Balance 237 Black/White Shoe,130609ABIS5," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59162438.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59162438_01.jpg']]",Black/White,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5']"
Men's Puma Smash Buck V2 Olive/White Shoe,130609ABBD2, R 899.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631845.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631845_01.jpg']]",Olive Green,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Low Black/White Shoe,130609ABIL9, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59146264.jpg'], []]",Black/White,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Low Navy Shoe,130609ABHU1, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092406.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092406_01.jpg']]",Navy,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Low Dark Grey Shoe,130609ABIM0, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59146263.jpg'], []]",Grey,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Low Burgundy Shoe,130609ABHU2, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092415.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092415_01.jpg']]",Burgundy,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Low Black Shoe,130609ABHT4, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092296.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092296_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Superga Classic Canvas Lo White Shoe,130609ABHT2, R 799.95,Superga,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092252.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59092252_01.jpg']]",White,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Nike Air Max Excee Black/Brown Shoe,130609ABAD2," R 1,999.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57609390.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57609390_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11', '12', '13']"
Men's Hi-Tec Flex Trail Olive/Black Shoe,130609ABIQ7, R 999.95,Hi Tec,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59158350.jpg'], []]",Olive Green,"['6', '7', '8', '9', '10', '11']"
Men's Hi-Tec Flex Trail Black/White Shoe,130609ABIR2, R 999.95,Hi Tec,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59158345.jpg'], []]",Black/White,"['6', '7', '8', '9', '10', '11']"
Men's Hi-Tec Flex Trail  Blue Stone/Blue Shoe,130609ABIQ5, R 999.95,Hi Tec,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59158346.jpg'], []]",Blue Stone,"['6', '7', '8', '9', '10', '11']"
Men's Hi-Tec Flex Trail White/Blue/Red Shoe,130609ABIQ9, R 999.95,Hi Tec,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59158349.jpg'], []]",White/Blue,"['6', '7', '8', '9', '10', '11']"
Men's Puma H.Street 20 Blue/White Shoe,130609ABCE2," R 1,299.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57665767.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57665767_01.jpg']]",Blue/White,"['6', '7', '8', '9', '10', '11', '12']"
Men's Puma Ferrari R-Cat Black/Red Shoe,130609ABBD7," R 1,499.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631942.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631942_01.jpg']]",Black/Red,"['6', '7', '8', '9', '10', '11', '12']"
Men's Nike Court Royale 2 Mid Black/White Shoe,130609AAUJ2," R 1,299.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57480859.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57480859_01.jpg']]",Black/White,"['6', '7', '8', '9', '10', '11', '12']"
Men's Nike Air Max Bolt White/Grey Shoe,130609ABAA5," R 1,599.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57608942.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57608942_01.jpg']]",White/Blue,"['6', '7', '8', '9', '10', '11', '12']"
Men's Nike Court Legacy White/Red Leather Shoe,130609ABAA4," R 1,199.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57608933.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57608933_01.jpg']]",White/Red,"['6', '7', '8', '9', '10', '11', '12']"
Men's Puma R78 Blue/White/Red Shoe,130609ABFY9, R 999.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016900.jpg'], []]",Blue/White,"['6', '7', '8', '9', '10', '11']"
Men's Reebok Glide Black Shoe,130609ABGW0, R 999.95,Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59054831.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59054831_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11', '12']"
Men's Puma Shuffle White/Black Shoe,130609ABGA2, R 899.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59017025.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59017025_01.jpg']]",White/Black,"['6', '7', '8', '9', '10', '11', '12']"
Men's New Balance 720 Beige/White Shoe,130609ABIG6," R 1,199.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59125700.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59125700_01.jpg']]",Beige/White,"['6', '7', '8', '9', '10', '11']"
Men's Puma C Skate Vulcanised White/Black Shoe,130609ABFZ1, R 999.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016918.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016918_01.jpg']]",White/Black,"['6', '7', '8', '9', '10', '11']"
Men's Puma Smash V2 Red Shoe,130609ABFZ4, R 999.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016945.jpg'], []]",Red,"['6', '7', '8', '9', '10', '11']"
Women's New Balance 720 Black/Gold Shoe,130609ABIF8," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122342.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122342_01.jpg']]",Black/Gold,"['4', '5', '6', '7', '8']"
Women's New Balance 373 Black/Beige Shoe,130609ABIG0," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122588.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122588_01.jpg']]",White/Gold,"['4', '5', '6', '7', '8']"
Women's New Balance 373 Pink/Grey Shoe,130609ABIG1," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122587.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122587_01.jpg']]",White/Gold,"['4', '5', '6', '7', '8']"
Women's New Balance 720 White/Gold Shoe,130609ABIF9," R 1,199.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122341.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59122341_01.jpg']]",White/Gold,"['4', '5', '6', '7', '8']"
Men's Le Coq Sportif Quartz Black Shoe,130609AAZA8," R 1,399.95",Le Coq Sportif,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57595192.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57595192_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Men's Puma Shuffle Black/White Shoe,130609ABFZ7, R 899.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016972.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016972_01.jpg']]",Black/White,"['6', '7', '8', '9', '10', '11']"
Men's  Nike Court Royale 2 Low Black Shoe,130609ABEV4," R 1,099.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958894.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958894_01.jpg']]",Black,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']"
Men's Nike Air Max SE White/Blue/Grey Shoe,130609ABEV0," R 1,399.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958768.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958768_01.jpg']]",White/Blue,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']"
Men's Puma Shuffle Perforated Black Shoe,130609ABFZ3, R 899.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016936.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59016936_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Men's Puma MAPM R-Cat White/Silver Shoe,130609ABBE0," R 1,499.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631983.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631983_01.jpg']]",White/Silver,"['6', '7', '8', '9', '10', '11', '12']"
Men's Puma DC Past Leisure Olive Green Shoe,130609ABBD3," R 1,199.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631893.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57631893_01.jpg']]",Olive Green,"['6', '7', '8', '9', '10', '11', '12']"
Men's Le Coq Sportif Quartz Navy/White/Gum Shoe,130609AAZA9," R 1,399.95",Le Coq Sportif,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57595209.jpg'], []]",Navy/White,"['6', '7', '8', '9', '10', '11']"
Men's Nike Court Legacy White/Gum Shoe,130609ABEV2," R 1,199.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958856.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958856_01.jpg']]",White,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']"
Men's Puma Anzarun Lite Navy/Light Blue Shoe,130609ABCR0, R 799.95,Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57694543.jpg'], []]",Navy/Blue,"['6', '7', '8', '9', '10', '11', '12']"
Men's Nike Court Royale 2 Low White/Blue Shoe,130609ABEV3, R 849.95,Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958875.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958875_02.jpg']]",White/Blue,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']"
Men's Nike Court Legacy Black/White Shoe,130609ABEU8," R 1,199.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958632.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58958632_01.jpg']]",Black/White,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5']"
